accuracy,loss,val_accuracy,val_loss,learning_rate
0.7822017073631287,0.5461804270744324,0.8017973303794861,0.4770035445690155,9.999999747378752e-05
0.7970544099807739,0.480093777179718,0.8017973303794861,0.4388849139213562,9.999999747378752e-05
0.8050424456596375,0.4486442804336548,0.8072890639305115,0.42020469903945923,9.999999747378752e-05
0.8080379366874695,0.4235309958457947,0.8102845549583435,0.409201055765152,9.999999747378752e-05
0.8187718391418457,0.4041338860988617,0.8102845549583435,0.40033745765686035,9.999999747378752e-05
0.816025972366333,0.4028192162513733,0.8147778511047363,0.39588433504104614,9.999999747378752e-05
0.8215177059173584,0.3905766010284424,0.8142786026000977,0.3909301161766052,9.999999747378752e-05
0.8207688331604004,0.38850122690200806,0.8157763481140137,0.38912901282310486,9.999999747378752e-05
0.8291313052177429,0.3817112147808075,0.8147778511047363,0.3859747648239136,9.999999747378752e-05
0.8292561173439026,0.37882375717163086,0.815277099609375,0.38245296478271484,9.999999747378752e-05
