accuracy,loss,val_accuracy,val_loss
0.6638791561126709,1.028672695159912,0.6684972643852234,0.9352218508720398
0.6747378706932068,0.9193987846374512,0.6719920039176941,0.9115728139877319
0.6889665722846985,0.8433594107627869,0.6944583058357239,0.8278353810310364
0.7024463415145874,0.7952574491500854,0.6884673237800598,0.8381390571594238
0.7166749835014343,0.7657651305198669,0.7034448385238647,0.8049699068069458
0.7181727290153503,0.7462625503540039,0.7049425840377808,0.8137578964233398
0.7276585102081299,0.7235473990440369,0.7064403295516968,0.848779022693634
0.7395157217979431,0.6866679787635803,0.7144283652305603,0.8146800994873047
0.7491263151168823,0.6620045900344849,0.7084373235702515,0.8237988948822021
0.7624812722206116,0.6241512894630432,0.7264103889465332,0.7764462232589722
